260.521, 130.149, 8.346, 11.950 False
260.104, 130.130, 8.346, 12.000 False
259.687, 130.110, 8.346, 12.050 False
259.271, 130.090, 8.345, 12.100 False
258.854, 130.070, 8.345, 12.150 False
258.437, 130.050, 8.344, 12.200 False
258.020, 130.031, 8.344, 12.250 False
257.604, 130.011, 8.343, 12.300 False
257.187, 129.991, 8.343, 12.350 False
256.770, 129.972, 8.343, 12.400 False
256.354, 129.954, 8.342, 12.450 False
255.937, 129.936, 8.342, 12.500 False
255.520, 129.917, 8.342, 12.550 False
255.104, 129.899, 8.341, 12.600 False
254.687, 129.881, 8.341, 12.650 False
254.270, 129.863, 8.341, 12.700 False
253.854, 129.845, 8.341, 12.750 False
253.437, 129.827, 8.340, 12.800 False
253.020, 129.809, 8.340, 12.850 False
252.604, 129.792, 8.340, 12.900 False
252.187, 129.774, 8.340, 12.950 False
251.770, 129.757, 8.339, 13.000 False
251.354, 129.740, 8.339, 13.050 False
250.937, 129.724, 8.339, 13.100 False
250.521, 129.707, 8.339, 13.150 False
250.104, 129.690, 8.338, 13.200 False
249.687, 129.674, 8.338, 13.250 False
249.271, 129.658, 8.338, 13.300 False
248.854, 129.643, 8.338, 13.350 False
248.438, 129.627, 8.338, 13.400 False
248.021, 129.612, 8.337, 13.450 False
247.604, 129.596, 8.337, 13.500 False
247.188, 129.581, 8.337, 13.550 False
246.771, 129.567, 8.337, 13.600 False
246.355, 129.552, 8.337, 13.650 False
245.938, 129.538, 8.337, 13.700 False
245.521, 129.524, 8.337, 13.750 False
245.105, 129.510, 8.336, 13.800 False
244.688, 129.497, 8.336, 13.850 False
244.271, 129.484, 8.336, 13.900 False
243.855, 129.470, 8.336, 13.950 False
243.438, 129.458, 8.336, 14.000 False
243.022, 129.445, 8.336, 14.050 False
242.605, 129.433, 8.336, 14.100 False
242.188, 129.421, 8.336, 14.150 False
241.772, 129.409, 8.336, 14.200 False
241.355, 129.398, 8.335, 14.250 False
240.939, 129.386, 8.335, 14.300 False
240.522, 129.375, 8.335, 14.350 False
240.105, 129.365, 8.335, 14.400 False
239.689, 129.354, 8.335, 14.450 False
239.272, 129.344, 8.335, 14.500 False
238.856, 129.334, 8.335, 14.550 False
238.439, 129.325, 8.335, 14.600 False
238.022, 129.315, 8.335, 14.650 False
237.606, 129.306, 8.335, 14.700 False
237.189, 129.298, 8.334, 14.750 False
236.772, 129.290, 8.334, 14.800 False
236.356, 129.282, 8.334, 14.850 False
235.939, 129.274, 8.334, 14.900 False
235.522, 129.268, 8.334, 14.950 False
235.106, 129.262, 8.334, 15.000 False
234.689, 129.255, 8.334, 15.050 False
234.272, 129.249, 8.334, 15.100 False
233.856, 129.243, 8.334, 15.150 False
233.439, 129.237, 8.334, 15.200 False
233.022, 129.232, 8.334, 15.250 False
232.606, 129.227, 8.334, 15.300 False
232.189, 129.222, 8.334, 15.350 False
231.772, 129.217, 8.334, 15.400 False
231.356, 129.213, 8.334, 15.450 False
230.939, 129.208, 8.334, 15.500 False
230.522, 129.204, 8.334, 15.550 False
230.106, 129.201, 8.334, 15.600 False
229.689, 129.197, 8.334, 15.650 False
229.272, 129.194, 8.334, 15.700 False
228.856, 129.191, 8.334, 15.750 False
228.439, 129.188, 8.334, 15.800 False
228.022, 129.185, 8.334, 15.850 False
227.606, 129.182, 8.334, 15.900 False
227.189, 129.180, 8.334, 15.950 False
226.772, 129.178, 8.334, 16.000 False
226.356, 129.176, 8.334, 16.050 False
225.939, 129.175, 8.334, 16.100 False
225.522, 129.173, 8.334, 16.150 False
225.106, 129.172, 8.334, 16.200 False
224.689, 129.171, 8.334, 16.250 False
224.272, 129.170, 8.334, 16.300 False
223.856, 129.169, 8.333, 16.350 False
223.439, 129.169, 8.333, 16.400 False
223.022, 129.168, 8.333, 16.450 False
222.606, 129.168, 8.333, 16.500 False
222.189, 129.168, 8.333, 16.550 False
221.772, 129.169, 8.333, 16.600 False
221.356, 129.169, 8.333, 16.650 False
220.939, 129.170, 8.333, 16.700 False
220.522, 129.170, 8.333, 16.750 False
220.106, 129.171, 8.333, 16.800 False
219.689, 129.172, 8.333, 16.850 False
219.272, 129.173, 8.333, 16.900 False
218.856, 129.175, 8.333, 16.950 False
218.439, 129.176, 8.333, 17.000 False
218.022, 129.178, 8.333, 17.050 False
217.606, 129.180, 8.333, 17.100 False
217.189, 129.181, 8.333, 17.150 False
216.773, 129.184, 8.333, 17.200 False
216.356, 129.187, 8.333, 17.250 False
215.939, 129.190, 8.333, 17.300 False
215.523, 129.192, 8.333, 17.350 False
215.106, 129.195, 8.333, 17.400 False
214.689, 129.198, 8.333, 17.450 False
214.273, 129.201, 8.333, 17.500 False
213.856, 129.205, 8.333, 17.550 False
213.439, 129.208, 8.333, 17.600 False
213.023, 129.211, 8.333, 17.650 False
212.606, 129.215, 8.333, 17.700 False
212.189, 129.218, 8.333, 17.750 False
211.773, 129.222, 8.333, 17.800 False
211.356, 129.226, 8.333, 17.850 False
210.939, 129.230, 8.333, 17.900 False
210.523, 129.234, 8.333, 17.950 False
210.106, 129.237, 8.333, 18.000 False
209.689, 129.242, 8.333, 18.050 False
209.273, 129.246, 8.333, 18.100 False
208.856, 129.250, 8.333, 18.150 False
208.439, 129.254, 8.333, 18.200 False
208.023, 129.258, 8.333, 18.250 False
207.606, 129.262, 8.333, 18.300 False
207.189, 129.267, 8.333, 18.350 False
206.773, 129.271, 8.333, 18.400 False
206.356, 129.275, 8.333, 18.450 False
205.939, 129.280, 8.333, 18.500 False
205.523, 129.284, 8.333, 18.550 False
205.106, 129.289, 8.333, 18.600 False
204.689, 129.293, 8.333, 18.650 False
204.273, 129.298, 8.333, 18.700 False
203.856, 129.302, 8.333, 18.750 False
203.440, 129.308, 8.333, 18.800 False
203.023, 129.313, 8.333, 18.850 False
202.606, 129.319, 8.333, 18.900 False
202.190, 129.322, 8.333, 18.950 False
201.773, 129.327, 8.333, 19.000 False
201.357, 129.331, 8.333, 19.050 False
200.940, 129.336, 8.333, 19.100 False
200.523, 129.340, 8.333, 19.150 False
200.107, 129.345, 8.333, 19.200 False
199.690, 129.349, 8.333, 19.250 False
199.273, 129.354, 8.333, 19.300 False
198.857, 129.358, 8.333, 19.350 False
198.440, 129.362, 8.333, 19.400 False
198.023, 129.367, 8.333, 19.450 False
197.607, 129.371, 8.333, 19.500 False
197.190, 129.376, 8.333, 19.550 False
196.774, 129.380, 8.333, 19.600 False
196.357, 129.384, 8.333, 19.650 False
195.940, 129.389, 8.333, 19.700 False
195.524, 129.393, 8.333, 19.750 False
195.107, 129.397, 8.333, 19.800 False
194.690, 129.401, 8.333, 19.850 False
194.274, 129.406, 8.333, 19.900 False
193.857, 129.410, 8.333, 19.950 False
193.440, 129.414, 8.333, 20.000 False
193.024, 129.418, 8.333, 20.050 False
192.607, 129.422, 8.333, 20.100 False
192.191, 129.426, 8.333, 20.150 False
191.774, 129.430, 8.333, 20.200 False
191.357, 129.434, 8.333, 20.250 False
190.941, 129.438, 8.333, 20.300 False
190.524, 129.442, 8.333, 20.350 False
190.107, 129.446, 8.333, 20.400 False
189.691, 129.450, 8.333, 20.450 False
189.274, 129.453, 8.333, 20.500 False
188.857, 129.457, 8.333, 20.550 False
188.441, 129.461, 8.333, 20.600 False
188.024, 129.464, 8.333, 20.650 False
187.607, 129.468, 8.333, 20.700 False
187.191, 129.471, 8.333, 20.750 False
186.774, 129.475, 8.333, 20.800 False
186.357, 129.478, 8.333, 20.850 False
185.941, 129.481, 8.333, 20.900 False
185.524, 129.485, 8.333, 20.950 False
185.107, 129.488, 8.333, 21.000 False
184.691, 129.491, 8.333, 21.050 False
184.274, 129.494, 8.333, 21.100 False
183.857, 129.497, 8.333, 21.150 False
183.441, 129.500, 8.333, 21.200 False
183.024, 129.503, 8.333, 21.250 False
182.607, 129.506, 8.333, 21.300 False
182.191, 129.509, 8.333, 21.350 False
181.774, 129.511, 8.333, 21.400 False
181.357, 129.514, 8.333, 21.450 False
180.941, 129.516, 8.333, 21.500 False
180.524, 129.519, 8.333, 21.550 False
180.107, 129.522, 8.333, 21.600 False
179.691, 129.524, 8.333, 21.650 False
179.274, 129.526, 8.333, 21.700 False
178.857, 129.529, 8.333, 21.750 False
178.441, 129.531, 8.333, 21.800 False
178.024, 129.533, 8.333, 21.850 False
177.607, 129.535, 8.333, 21.900 False
177.191, 129.537, 8.333, 21.950 False
176.774, 129.539, 8.333, 22.000 False
176.357, 129.541, 8.333, 22.050 False
175.941, 129.543, 8.333, 22.100 False
175.524, 129.545, 8.333, 22.150 False
175.107, 129.546, 8.333, 22.200 False
174.691, 129.548, 8.333, 22.250 False
174.274, 129.550, 8.333, 22.300 False
173.857, 129.551, 8.333, 22.350 False
173.441, 129.553, 8.333, 22.400 False
173.024, 129.554, 8.333, 22.450 False
172.607, 129.555, 8.333, 22.500 False
